switch_ref,diode_ref,label,row,col,switch_pin_1,switch_pin_2,diode_anode,diode_cathode,column_net,row_net,x_mm,y_mm
SW73,D73,Ins,1,14,COL14,D73_A,D73_A,ROW1,COL14,ROW1,309.038,42.337
SW74,D74,Home,1,15,COL15,D74_A,D74_A,ROW1,COL15,ROW1,328.088,42.337
SW75,D75,PgUp,2,14,COL14,D75_A,D75_A,ROW2,COL14,ROW2,309.038,61.388
SW76,D76,Del,2,15,COL15,D76_A,D76_A,ROW2,COL15,ROW2,328.088,61.388
SW77,D77,End,3,13,COL13,D77_A,D77_A,ROW3,COL13,ROW3,309.038,80.438
SW78,D78,PgDn,3,14,COL14,D78_A,D78_A,ROW3,COL14,ROW3,328.088,80.438
SW79,D79,Up,4,12,COL12,D79_A,D79_A,ROW4,COL12,ROW4,309.038,99.487
SW80,D80,Left,5,7,COL7,D80_A,D80_A,ROW5,COL7,ROW5,289.988,118.538
SW81,D81,Down,5,8,COL8,D81_A,D81_A,ROW5,COL8,ROW5,309.038,118.538
SW82,D82,Right,5,9,COL9,D82_A,D82_A,ROW5,COL9,ROW5,328.088,118.538
